X	C(X)	Mean of Collatz up to X
516	124	53.9437984496124
517	124	54.0793036750484
518	124	54.2142857142857
519	62	54.2292870905588
520	31	54.1846153846154
521	124	54.3186180422265
522	31	54.2739463601533
523	124	54.4072657743786
524	31	54.3625954198473
525	31	54.3180952380952
526	80	54.3669201520913
527	80	54.415559772296
528	31	54.3712121212121
529	31	54.3270321361059
530	124	54.4584905660377
531	124	54.5894538606403
532	31	54.5451127819549
533	31	54.5009380863039
534	23	54.4419475655431
535	23	54.3831775700935
536	31	54.339552238806
537	23	54.2811918063315
538	31	54.2379182156134
539	49	54.2282003710575
540	44	54.2092592592593
541	44	54.1903881700555
542	44	54.1715867158672
543	137	54.3241252302026
544	18	54.2573529411765
545	44	54.2385321100917
546	31	54.1959706959707
547	31	54.1535648994516
548	93	54.2244525547445
549	93	54.2950819672131
550	93	54.3654545454545
551	44	54.3466424682396
552	18	54.2807971014493
553	137	54.4303797468354
554	18	54.3646209386282
555	31	54.3225225225225
556	44	54.3039568345324
557	44	54.2854578096948
558	44	54.2670250896057
559	88	54.3273703041145
560	18	54.2625
561	44	54.2442067736185
562	44	54.2259786476868
563	44	54.2078152753108
564	18	54.1436170212766
565	18	54.0796460176991
566	62	54.0936395759717
567	62	54.1075837742504
568	106	54.1989436619718
569	57	54.2038664323374
570	106	54.2947368421053
571	31	54.2539404553415
572	106	54.3444055944056
573	106	54.434554973822
574	44	54.4163763066202
575	44	54.3982608695652
576	26	54.3489583333333
577	31	54.3084922010399
578	31	54.2681660899654
579	31	54.2279792746114
580	119	54.3396551724138
581	119	54.4509466437177
582	119	54.5618556701031
583	31	54.5214408233276
584	119	54.6318493150685
585	57	54.6358974358974
586	119	54.7457337883959
587	119	54.855195911414
588	119	54.9642857142857
589	119	55.0730050933786
590	57	55.0762711864407
591	57	55.0795262267344
592	26	55.0304054054054
593	75	55.0640809443508
594	75	55.0976430976431
595	75	55.1310924369748
596	26	55.0822147651007
597	26	55.0335008375209
598	119	55.1404682274247
599	119	55.2470784641068
600	18	55.185
601	57	55.1880199667221
602	18	55.1262458471761
603	70	55.150912106136
604	18	55.0894039735099
605	18	55.0280991735537
606	44	55.009900990099
607	44	54.99176276771
608	26	54.9440789473684
609	132	55.0706075533662
610	39	55.044262295082
611	39	55.0180032733224
612	39	54.9918300653595
613	39	54.9657422512235
614	39	54.9397394136808
615	70	54.9642276422764
616	26	54.9172077922078
617	132	55.0421393841167
618	26	54.995145631068
619	132	55.1195476575121
620	88	55.1725806451613
621	88	55.2254428341385
622	88	55.2781350482315
623	132	55.4012841091493
624	39	55.375
625	26	55.328
626	132	55.4504792332268
627	132	55.5725677830941
628	39	55.546178343949
629	39	55.5198728139905
630	39	55.4936507936508
631	39	55.4675118858954
632	39	55.4414556962025
633	31	55.4028436018957
634	39	55.3769716088328
635	31	55.3385826771654
636	57	55.3411949685535
637	57	55.3437990580848
638	57	55.346394984326
639	132	55.4663536776213
640	13	55.4
641	52	55.3946957878315
642	26	55.3489096573209
643	26	55.303265940902
644	101	55.3742236024845
645	101	55.4449612403101
646	101	55.515479876161
647	39	55.4899536321484
648	26	55.4444444444444
649	145	55.5824345146379
650	26	55.5369230769231
651	101	55.6067588325653
652	26	55.5613496932515
653	26	55.5160796324655
654	145	55.6529051987768
655	145	55.7893129770992
656	114	55.8780487804878
657	52	55.8721461187215
658	52	55.8662613981763
659	52	55.8603945371775
660	114	55.9484848484848
661	114	56.036308623298
662	26	55.9909365558912
663	26	55.9457013574661
664	114	56.0331325301205
665	52	56.0270676691729
666	114	56.1141141141141
667	145	56.2473763118441
668	70	56.2679640718563
669	70	56.288490284006
670	70	56.3089552238806
671	96	56.3681073025335
672	13	56.3035714285714
673	65	56.3164933135215
674	114	56.4020771513353
675	114	56.4874074074074
676	52	56.4807692307692
677	52	56.4741506646972
678	52	56.4675516224189
679	65	56.480117820324
680	13	56.4161764705882
681	65	56.4287812041116
